Name,Branch,Age,Education,Income_K,Deposit
"Crist, Kaylah",Akron,42,4. College Grad,40.5,3615.68
"Whiteman, Michelle",Fairlawn,38,5. Advanced Degree,190.3,25460.12
"Aguirre-Diaz, Angelica",Akron,55,2. HS Grad,31.4,2969.61
"Valencia Orozco, Jessica",Akron,49,4. College Grad,181.3,23878.42
"Lobatos Sanchez, Madeline",Akron,31,2. HS Grad,46.1,5660.74
"Nguyen, Samantha",Fairlawn,43,3. Some College,50.7,6112.21
"Ugarte, Brandy",Fairlawn,39,5. Advanced Degree,62.6,6302.64
"Roberts, Andrea",Fairlawn,45,3. Some College,53,6748.38
"Padilla Gonzalez, Nathanial",Solon,48,2. HS Grad,41,4208.2
"Abdul-Amin, Salmon",Fairlawn,55,5. Advanced Degree,64.9,6066.79
"Kosmiski, Urey",Kent,35,3. Some College,43.9,5977.52
"Ehizuelen, Dazhean",Hudson,42,3. Some College,55,6512.79
"Gardner, Zachary",Fairlawn,23,4. College Grad,49.7,7298.67
"Hines, Brianni",Akron,26,2. HS Grad,33.5,4125.29
"Gately, Holly",Twinsburg,24,1. < HS Grad,43,5122.89
"Duran, Dakota",Stow,30,4. College Grad,50.7,4101.96
"Hutchinson, Zachary",Kent,22,2. HS Grad,47.7,5171.3
"Wilson, Sydney",Fairlawn,53,3. Some College,52.5,5789.81
"Asberry, Izabella",Fairlawn,31,3. Some College,65.3,5930.25
"Mannino, Dyon",Fairlawn,43,2. HS Grad,86.3,9263.85
"Ware, Kelawn",Twinsburg,29,2. HS Grad,29.6,2866.13
"Haviland, Nathaniel",Solon,47,3. Some College,80,7975.46
"Martzloff, Laten",Akron,43,1. < HS Grad,59.2,7744.08
"Orth, Cory",Fairlawn,30,4. College Grad,100.1,11525.38
"Smith, Kia",Fairlawn,30,3. Some College,36.4,3992.75
"Christian, Elise",Fairlawn,46,4. College Grad,83.8,8536.45
"Adams, Tracy",Fairlawn,41,3. Some College,66.1,7472.84
"Powells, Zevin",Kent,36,4. College Grad,72.9,9810.39
"Guyon, Blain",Akron,56,3. Some College,61.7,5662.84
"Armond, Maria",Akron,29,4. College Grad,46.2,6849.91
"Hardiman, Jared",Stow,50,5. Advanced Degree,110.8,14648.46
"Frost, Andrew",Hudson,27,3. Some College,60.2,7160.28
"Snow, Anasthasia",Hudson,34,5. Advanced Degree,54.3,7721.34
"Babb, Nicholas",Fairlawn,36,4. College Grad,71.2,9443.33
"Trujillo, Ivy",Akron,46,4. College Grad,70.9,8688.12
"Santoyo Rocha, Joseph",Fairlawn,19,2. HS Grad,28.6,3616.43
"Freeland, Tashina",Akron,45,2. HS Grad,37.8,3640.93
"Rathke, Molly",Akron,45,2. HS Grad,35.1,4271.49
"Gust, Dvon",Stow,38,2. HS Grad,46.4,6219.45
"Salle II, Teresita",Fairlawn,47,2. HS Grad,44.4,3824.21
"Tran, Solomon",Akron,26,2. HS Grad,37.9,5590.06
"Schmeits, Luke",Kent,54,2. HS Grad,54.4,7187.19
"Turner, Yvette",Kent,34,1. < HS Grad,32.8,4790.17
"Garcia-Retana, Rebecca",Akron,26,3. Some College,8,457.91
"Lau, Hmohngchee",Akron,59,4. College Grad,73.2,7472.57
"Hughes, Cassandra",Kent,30,5. Advanced Degree,178.3,22378.37
"Contreras Hernandez, Bobbi",Twinsburg,27,4. College Grad,46.3,5230.75
"Roche, Thomas",Hudson,37,2. HS Grad,109.4,13085.33
"Von Feldt, Ryan",Akron,53,5. Advanced Degree,54.4,4946.42
"Kwan, Yichen",Kent,36,1. < HS Grad,44.8,3935.71
"Leigh, Victoria",Hudson,38,3. Some College,59.2,5184.61
"Noble Jr, Tierra",Fairlawn,28,2. HS Grad,49,4783.93
"Larimer, Scott",Akron,57,2. HS Grad,50.5,7451.54
"Hayes, Carson",Fairlawn,49,4. College Grad,36.4,3580.41
"Miles, Christian",Akron,38,5. Advanced Degree,72.5,7695.4
"Tobias, Yael",Fairlawn,23,4. College Grad,48.9,5570.36
"Cherry, Miles",Fairlawn,54,5. Advanced Degree,63.6,8475.27
"Jones, Jorden",Hudson,41,4. College Grad,76.7,7305.89
"Pierce, Miles",Fairlawn,24,3. Some College,50.6,5441.47
"Wommack, Marcus",Kent,20,2. HS Grad,51.3,5661.58
"Norman, Christopher",Twinsburg,23,3. Some College,32.1,3857.6
"Crowghost, Sabrina",Solon,46,4. College Grad,44.4,3571.45
"Enriquez, Blanca",Akron,37,3. Some College,76.7,9846.86
"Scholl, Paige",Fairlawn,49,3. Some College,64.5,8301.88
"Prejean, Joel",Fairlawn,53,2. HS Grad,40.8,3097.25
"Delille, Brandon",Hudson,67,3. Some College,73.5,9831.29
"Sims, Kailyn",Kent,35,2. HS Grad,27.8,2211.23
"Sotelo, Amanda",Fairlawn,40,5. Advanced Degree,200.8,30310.97
"Madril, Makaylin",Akron,51,5. Advanced Degree,88.2,12066.87
"London, Brianna",Kent,35,2. HS Grad,99.7,13559.63
"Douglas Jr, Tavaris",Twinsburg,40,1. < HS Grad,55.2,5946.15
"Weeks, Brooklyvon",Akron,35,1. < HS Grad,27.5,2390.81
"Whitford, Hannah",Kent,58,2. HS Grad,58.7,7149.32
"Monroe, Kiara",Kent,75,2. HS Grad,39.1,4303.34
"Lund, Joshua",Akron,54,2. HS Grad,38.2,4312.72
"Gallegos, Brianna",Akron,52,2. HS Grad,17.7,1792.82
"Quinones, Melissa",Fairlawn,22,2. HS Grad,49.4,4856.4
"Sayyid, Kuan-Hsuen",Twinsburg,40,2. HS Grad,45.6,4807.34
"Le, Jing",Solon,48,4. College Grad,68,8069.29
"Garcia, Matthew",Kent,28,5. Advanced Degree,61.1,7680.11
"Plunkett, Brittany",Akron,38,1. < HS Grad,23.3,1378.48
"Warren, Danielle",Akron,63,5. Advanced Degree,86.2,12385.35
"Gallegos, William",Akron,34,4. College Grad,40.7,4578.3
"Longwolf, Niki",Kent,45,2. HS Grad,73.7,8995.52
"Fallt, Kevin",Fairlawn,41,2. HS Grad,94.2,9895.63
"Mejia, Gladys",Kent,42,3. Some College,73,10207.83
"Chavez, Justin",Solon,30,2. HS Grad,49.5,4327.29
"Jelly, Kristopher",Fairlawn,58,3. Some College,48.2,4563.26
"Triolo, Donald",Akron,51,2. HS Grad,65,6146.65
"Montano, Leslie",Akron,31,4. College Grad,65.3,6196.93
"Gesick, Danica",Kent,45,2. HS Grad,45.9,6605
"Tran, Kevin",Hudson,22,3. Some College,17.9,1419.48
"Park, Sung-Jin",Fairlawn,46,5. Advanced Degree,94.8,10276.35
"Torres, Jalen",Fairlawn,40,1. < HS Grad,67.4,9602.34
"Harding, Shauntece",Kent,28,3. Some College,44.1,3758.09
"Begay, Heather",Hudson,41,3. Some College,48.6,4845.02
"Chen, Natacha",Kent,50,4. College Grad,56.4,6143.5
"Tugade, Andrew",Akron,49,5. Advanced Degree,37,4004.67
"Jones, Kessa",Hudson,25,2. HS Grad,39.4,6009.03
"Parrish, Ariayanna",Solon,49,2. HS Grad,39.3,2992.09
"Pacht, Jaimie",Hudson,59,3. Some College,92.5,11343.38
"Samora, Nikkii",Fairlawn,49,2. HS Grad,40.1,3603.57
"Brown, Meshel",Fairlawn,39,4. College Grad,78.5,8082.96
"Edwards, Dorian",Fairlawn,48,2. HS Grad,22.4,3506.35
"Chounlamany, Richard",Kent,25,4. College Grad,55.1,5941.38
"Lopez, Gonzalo",Akron,58,5. Advanced Degree,67,7402.8
"Richardson, Sierra",Fairlawn,28,3. Some College,114.9,13448.86
"Thomas, Priyanka",Kent,55,5. Advanced Degree,63,6130.34
"Francis, Savannah",Hudson,59,5. Advanced Degree,133.3,17310.84
"Pham, Kaylina",Hudson,47,5. Advanced Degree,67.1,7098.5
"Christian, Yesenia",Twinsburg,29,5. Advanced Degree,75.7,10805.01
"Franklin, Shaun",Twinsburg,47,2. HS Grad,53,6634.91
"Schwarzenberger, Paige",Fairlawn,47,4. College Grad,32.7,2378.47
"Spanicek, Gunnar",Akron,63,5. Advanced Degree,61,6329.36
"Mariscal, Allyson",Kent,18,2. HS Grad,35.9,3146.15
"Garcia, Ana",Akron,42,1. < HS Grad,31.8,5083.28
"Tran, Tien",Stow,48,1. < HS Grad,41.8,6454.92
"Lovi, Jordan",Akron,25,2. HS Grad,34.8,4747.8
"Hamilton, Cicely",Akron,54,4. College Grad,77.2,10773.42
"Trejo, Carolina",Kent,29,2. HS Grad,45.1,6303.32
"Coddington, Noel",Hudson,51,2. HS Grad,35.7,4182.6
"Chavez, David",Twinsburg,63,3. Some College,70.8,9974.54
"Sawaged, David",Stow,45,5. Advanced Degree,79.1,8897.69
"Kim, Aastha",Kent,53,2. HS Grad,46.6,4404.86
"Barney, Brehaa",Stow,52,4. College Grad,51.4,6395.65
"Yeddanapudy, Sophia",Fairlawn,36,5. Advanced Degree,121.6,17051.24
"Portugal, Anjel",Fairlawn,31,2. HS Grad,28.5,4919.03
"Medina, Diego",Fairlawn,58,2. HS Grad,55.9,5813.72
"Campbell, Lauren",Fairlawn,62,5. Advanced Degree,64.8,6132.51
"Pabalan, Zhening",Solon,36,5. Advanced Degree,76.9,8834.22
"Mortensen, Alex",Akron,39,5. Advanced Degree,75,10808.33
"Nguyen, Tommy",Hudson,26,3. Some College,57.9,5440.41
"Fischer, Seth",Stow,43,5. Advanced Degree,108.5,14501.69
"Kim, Juwon",Hudson,30,4. College Grad,67.2,6495.88
"Walker, Keziah",Kent,33,5. Advanced Degree,112,13225.68
"Peralta, Maritza",Akron,63,3. Some College,42.5,6521.08
"Naple, Umeed",Akron,52,2. HS Grad,50.6,5435.14
"Belay-Gebru, Samih",Kent,34,3. Some College,44.6,6158.13
"Johnson, Amanda",Fairlawn,57,4. College Grad,77.8,8715.76
"Adams, Cheyenne",Fairlawn,26,5. Advanced Degree,58.3,5053.01
"Lopez, Julio",Kent,35,2. HS Grad,51.2,7178.05
"Ely, Nicholas",Solon,30,5. Advanced Degree,81.4,11377.46
"Manzanares, Coty",Stow,67,1. < HS Grad,70.6,7826.5
"Smith, Justin",Kent,38,1. < HS Grad,39.2,3532.78
"Arney, Rebecca",Twinsburg,51,4. College Grad,68,8266.66
"Brackney, Nicholas",Twinsburg,54,5. Advanced Degree,67.6,6266.73
"Stauffer, Haorui",Hudson,38,4. College Grad,189.9,26715.66
"Helman, Jared",Solon,48,4. College Grad,85.7,10296.03
"Howard, Kyla",Akron,42,2. HS Grad,46.7,4299.55
"Wu, Vi",Fairlawn,54,4. College Grad,20.6,1344.39
"Ali, Courtney",Fairlawn,41,5. Advanced Degree,88.1,8997.24
"Hernandez, Gabriel",Fairlawn,60,1. < HS Grad,65.4,8061.94
"Villagrana, Samaria",Twinsburg,37,5. Advanced Degree,74.8,8562.85
"Barela, Anastasia",Akron,58,2. HS Grad,50.1,7170.06
"Littlejohn, Angel",Twinsburg,61,2. HS Grad,34.1,5299.97
"Hiromasa, Van",Fairlawn,30,2. HS Grad,56.2,5147.23
"Scott, Alfonzo",Akron,45,3. Some College,53.2,6620.99
"Howard, Rachel",Stow,41,4. College Grad,70.7,8047.21
"Pope, James",Akron,77,4. College Grad,26.8,4118.13
"Joy, Caleb",Fairlawn,32,2. HS Grad,47.1,5518.67
"Lee, Andrew",Kent,35,5. Advanced Degree,95.1,12668.49
"Santos, Shelly",Fairlawn,49,2. HS Grad,58.8,6690.48
"Staffa, Abigail",Akron,45,4. College Grad,63.4,8153.9
"Herrera-Hernandez, Jena",Twinsburg,52,3. Some College,69.6,9189.27
"Pike, Keirra",Akron,48,3. Some College,79.4,9091.78
"Pineau, Michael",Twinsburg,43,5. Advanced Degree,68.5,7033.96
"Baker, Amanda",Stow,57,5. Advanced Degree,60.2,5939.55
"Colby, Josie",Kent,36,3. Some College,69.4,7901.34
"Cherry, Jaquelin",Fairlawn,33,2. HS Grad,58.6,6463.37
"Williams, Simon",Twinsburg,48,4. College Grad,93.6,13377.93
"Estrada Avila, Alexis",Akron,25,3. Some College,31.2,3481.25
"Rick, Mi",Fairlawn,55,2. HS Grad,73.3,9703.61
"Barnes, Krista",Akron,24,2. HS Grad,19.4,1151.67
"Ballage, Kiana",Hudson,39,2. HS Grad,32.4,4207.26
"Schulthies, Briana",Twinsburg,48,3. Some College,71.3,10040.8
"Garcia, Pablo",Fairlawn,39,3. Some College,103.6,11033.04
"Westbrook, Malik",Fairlawn,32,1. < HS Grad,9.1,529.52
"Box, Daniel",Kent,42,4. College Grad,100.8,14377.38
"Das, Keng",Akron,24,2. HS Grad,46.1,6264.3
"Lyon, Matthew",Stow,53,4. College Grad,80,8140.89
"Depperschmidt, Melissa",Akron,40,4. College Grad,63.8,6943.29
"Gresh, Hannah",Kent,25,3. Some College,40.4,5287.48
"Woodland, Emery",Fairlawn,31,2. HS Grad,37.6,3524.89
"Vigil, Albaro",Kent,31,2. HS Grad,68.3,7039.39
"Stephenson, Aguedo",Kent,30,4. College Grad,57.6,6548.84
"Jones, Jesse",Hudson,46,3. Some College,79.6,10841.72
"Costa, Michael",Kent,41,2. HS Grad,37.7,5572.39
"Mack, D Andre",Fairlawn,38,2. HS Grad,45.7,4590.68
"Goodell, Nicholas",Solon,49,2. HS Grad,43.9,3636.02
"Nosker, Kayla",Kent,34,2. HS Grad,29.1,2172.69
"Santistevan, Karissa",Fairlawn,44,2. HS Grad,51.1,4504.84
"Matthew, Austin",Fairlawn,47,1. < HS Grad,41.5,3410.05
"Valdez, Marc",Fairlawn,33,3. Some College,61.3,8041.4
"Kiatoukaysy, Rachael",Hudson,29,2. HS Grad,63.9,8887.69
"Thesz, Alicia",Twinsburg,48,4. College Grad,94.1,10110.37
"Patel, Linda",Akron,39,1. < HS Grad,49.4,7252.96
"Maccraiger, Spencer",Twinsburg,41,2. HS Grad,44.1,4048.36
"Hamlin, Tierra",Fairlawn,33,2. HS Grad,51.4,7236.96
"Dortch, Toniosha",Twinsburg,41,1. < HS Grad,27.7,4249.95
"Price, Sage",Fairlawn,46,5. Advanced Degree,74.6,8174.41
"Newkirk, Keandre",Hudson,53,2. HS Grad,50.3,4608.43
"Collins, Tiaounsinay",Akron,25,3. Some College,41.3,4773.67
"Webb, Shayla",Solon,56,2. HS Grad,68.9,6747.47
"Tripp, Brendon",Fairlawn,53,2. HS Grad,54.9,5983.29
"Contreras, Nadia",Stow,35,1. < HS Grad,31.4,4266.99
"Lombardi-Marsh, Senceri",Akron,36,4. College Grad,54.4,6824.27
"Joy, Sadyan",Fairlawn,19,2. HS Grad,38.8,3899.14
"Ketchum, Christiana",Kent,35,3. Some College,88.2,9515.44
"Voon, Ashlee",Fairlawn,50,4. College Grad,74.4,8499.46
"Watts, Wesley",Solon,51,4. College Grad,85.6,10510.08
"Mcallister-Ziegler, Korbinn",Kent,26,2. HS Grad,51.2,6109.91
"Cereceres, Naiessynce",Akron,46,4. College Grad,84.8,10200.35
"Greeley, Kevin",Fairlawn,43,4. College Grad,35.6,5508.22
"Cribari, Corinna",Kent,42,4. College Grad,82.3,11125.29
"Parrish, Israel",Akron,28,4. College Grad,39.2,3856.33
"Childress Younger, Dalante",Fairlawn,53,2. HS Grad,64,5561.59
"Scanlon, Mayra",Twinsburg,35,4. College Grad,84,11921.53
"Clark, Sierriah",Fairlawn,44,4. College Grad,84,10621.14
"Haney, Mariah",Hudson,44,3. Some College,60.5,5175.08
"Williams, Amaurey",Kent,37,3. Some College,51.3,6150.69
"Murphy, Jeremy",Kent,47,4. College Grad,60.3,6573.59
"Torres, Wynonna",Stow,47,2. HS Grad,43.3,4307.51
"Altman, Amanda",Akron,52,4. College Grad,32.8,4772.65
"Brownrigg, Demarkus",Akron,33,5. Advanced Degree,64.9,9321.25
"Hood, Mercedes",Akron,34,3. Some College,75,7085.86
"Pham, Julieanna",Solon,46,5. Advanced Degree,94.6,10513.84
"Hotchkiss, Nicole",Solon,38,4. College Grad,81.9,10932.5
"Boling, Michelle",Stow,50,3. Some College,81,7891.13
"Bombard, Alec",Akron,43,4. College Grad,56.3,6198.22
"Dietrich, Erica",Kent,24,3. Some College,41.2,3322.18
"Igou, Max",Kent,39,5. Advanced Degree,93.3,9670.62
"Kallon, Kaila",Fairlawn,37,4. College Grad,62.9,8781.95
"Lew, Alex",Kent,23,4. College Grad,68.6,6534.21
"Hagadorn, Joshua",Akron,40,3. Some College,79.8,10671.03
"Arcibal, Emma",Akron,44,1. < HS Grad,41.9,5786.04
"Cosby, Vanessa",Stow,35,2. HS Grad,45.9,6121.63
"Rodriguez, Brianna",Fairlawn,58,5. Advanced Degree,107.2,14150.93
"Hume, Rachel",Kent,47,3. Some College,61,5459.95
"Salazar, Chrystian",Fairlawn,34,2. HS Grad,27.6,4504.58
"Terrazas Najera, Anna",Solon,50,2. HS Grad,46.7,4617.58
"Velasquez, Valery",Kent,34,5. Advanced Degree,91.7,10600.04
"Grogan, John",Stow,41,2. HS Grad,56.8,5344.37
"Dai, Je Young",Twinsburg,46,2. HS Grad,34,4959.68
"Ulibarri, Malachi",Fairlawn,43,5. Advanced Degree,96.4,12709.8
"Richards, Crystal",Hudson,22,3. Some College,54.4,6536.72
"Fisher, Robert",Fairlawn,50,4. College Grad,73.2,10059.61
"Hickman, Michael",Fairlawn,36,5. Advanced Degree,75.2,10850.55
"Williams, Kaitlyn",Solon,37,4. College Grad,59,6326.49
"Baca, Lori",Fairlawn,49,5. Advanced Degree,77.7,8422.3
"Hess, Esainea",Twinsburg,34,4. College Grad,54,5164.92
"Bailey, Lakisha",Solon,23,1. < HS Grad,27.1,3318.97
"Trujillo, Andre",Akron,45,4. College Grad,65.3,6129.08
"Shander, Jamie",Hudson,37,5. Advanced Degree,118.6,15847.83
"Stevenson, Isaiah",Fairlawn,18,2. HS Grad,38,3505.81
"Faamausili, Anthony",Akron,46,2. HS Grad,28.4,2277.46
"Watson, Shomari",Hudson,46,2. HS Grad,27.2,1754.07
"Peitzmeier, Dylan",Fairlawn,34,4. College Grad,67.3,8538.26
"An, Malakai",Fairlawn,33,4. College Grad,46.8,4796.19
"Gordon, Zebidiah",Akron,37,5. Advanced Degree,91.8,12550.58
"Martin, Wallace",Hudson,29,3. Some College,53.4,4679.12
"Yi, Abbigelle",Fairlawn,19,1. < HS Grad,20.3,1955.8
"Tang, Lauren",Kent,38,4. College Grad,116.7,15727.62
"Lee, Kieu",Akron,32,4. College Grad,45.1,4603.96
"Harris, Jordan",Fairlawn,35,3. Some College,45.2,5733.43
"Lam, Stephen",Kent,42,4. College Grad,73.4,8641.83
"Garrison, Heather",Kent,38,4. College Grad,48.4,4143.72
"Taylor, Margaret",Twinsburg,22,2. HS Grad,28.1,3513.6
"Yohe-Ironwing, Ian",Hudson,38,3. Some College,79.7,7581.5
"Tburrell, Mikeysna",Kent,41,4. College Grad,109.2,14070.55
"Galligan, Robert",Akron,51,5. Advanced Degree,65.9,6722.2
"Flood, Justin",Kent,36,4. College Grad,35,3516.78
"Arviso-Aguirre, Jaron",Akron,50,2. HS Grad,71.7,9091.53
"Moline, Joseph",Fairlawn,30,2. HS Grad,53.2,6813.03
"Pham, Zainab",Fairlawn,26,2. HS Grad,44.9,4075.85
"Wilson, Devante",Akron,51,2. HS Grad,37.9,5413.14
"Barcroft, Sarah",Twinsburg,38,3. Some College,43.7,5159.86
"Luna, Edgar",Akron,57,4. College Grad,70.2,8936.65
"Tillman, Antquant",Hudson,56,1. < HS Grad,45.1,4028.17
"Williams, Javon",Akron,49,2. HS Grad,43.4,3352.23
"Clark, Cinead",Stow,49,3. Some College,57.3,5286.43
"Redin, Mateaki",Solon,42,4. College Grad,110.7,12130.61
"Cousins, Cameron",Akron,24,3. Some College,17.3,3149.31
"De La Garza, Cipriano",Stow,61,3. Some College,51.2,6266.26
"Hall, Zackery",Stow,46,4. College Grad,42,4475.83
"Saxe, Rena",Akron,83,3. Some College,42.4,6331.47
"Cardoza, Jose",Akron,41,3. Some College,58.3,5371.88
"Valencia, John-Michael",Fairlawn,20,2. HS Grad,43.2,4569.61
"Salas-Smith, Kiana",Akron,53,2. HS Grad,62.8,8285.11
"Johnson, Dominique",Akron,28,2. HS Grad,40.6,6228.98
"Sato, Mimi",Fairlawn,26,2. HS Grad,44.7,6644.74
"Tanoue, Amery",Solon,39,4. College Grad,84.5,9267.52
"Rondeau, Kelly",Twinsburg,42,3. Some College,50.1,6375.76
"Hoots, Melanie",Kent,20,3. Some College,50.8,4852.67
"House, Jonathan",Kent,56,3. Some College,70.1,9505.52
"Reed, Thomas",Stow,34,2. HS Grad,39.7,4912.14
"Westphal, Raphael",Akron,33,5. Advanced Degree,60.3,6385.19
"Patterson, Amanda",Fairlawn,38,3. Some College,74.8,10031.67
"Benedict, David",Fairlawn,50,4. College Grad,74.1,9140.13
"Puga, Bennett",Akron,65,5. Advanced Degree,68.7,9646.64
"Ventura, Dominic",Akron,42,4. College Grad,78.8,8039.36
"Reyes, Alexis",Akron,65,2. HS Grad,51.3,5296.05
"Linear Jr, Kevin",Twinsburg,23,2. HS Grad,33.4,3403.14
"Amezcua, Deisy",Fairlawn,46,3. Some College,86.1,8646.65
"Archibeque, Jonathan",Kent,36,5. Advanced Degree,86.3,8774.92
"Bravo, Jacquilyn",Stow,48,2. HS Grad,46.7,3648.62
"Carreon, Evelyn",Solon,47,2. HS Grad,37.4,3882.28
"Jirsaraie, Elizabeth",Solon,54,3. Some College,44.5,4600.42
"Cook, Anthony",Akron,61,1. < HS Grad,43.3,3751.79
"Kim, Sarah",Solon,25,4. College Grad,41,5176.64
"Lucero Jr, Clay Stone",Solon,50,4. College Grad,45.8,6475.71
"Morris, Genesis",Fairlawn,63,4. College Grad,57.8,6980.4
"Unga, Hannah",Stow,41,2. HS Grad,40.9,5503.27
"Trujillo Gonzalez, Joseluis",Kent,37,4. College Grad,77.4,8561.82
"Campuzano, Maira",Kent,53,2. HS Grad,41.7,3952.19
"Hailemicael, Ryann",Stow,48,4. College Grad,81.1,9067.3
"Walton-Deshawn, Julian",Hudson,48,4. College Grad,71.8,8405.48
"Guzman, Shalynn",Akron,60,5. Advanced Degree,71.6,8857.11
"Sanchez Guillen, Yolanda",Fairlawn,53,3. Some College,53,5483.78
"Silverston, Jeremy",Fairlawn,37,5. Advanced Degree,109.7,13631.8
"O'Neil, Santanna",Hudson,37,1. < HS Grad,53.7,6434.96
"Bernat, Zachary",Fairlawn,42,4. College Grad,61.7,7592.13
"Arredondo, Brenda",Fairlawn,28,2. HS Grad,62.3,7438.71
"Alamillo, Brandi",Akron,58,5. Advanced Degree,59.2,6108
"Brazee, Ashley",Kent,26,2. HS Grad,50.5,4729.41
"Fox, Travis",Fairlawn,24,2. HS Grad,33.3,2647.58
"Mortel, Alysha",Hudson,44,2. HS Grad,43.8,4572.26
"Hudson, Taylor",Akron,59,3. Some College,44.5,3791.4
"Barksdale, Rylie",Fairlawn,58,5. Advanced Degree,104.7,12077.02
"Boisselle, Christian",Akron,43,4. College Grad,79.4,8606.81
"Ellington, Zevin",Kent,28,2. HS Grad,41.1,5308.9
"Chaparro, Daisha",Twinsburg,52,1. < HS Grad,39.9,6019.39
"Tedesco, Ronald",Kent,23,3. Some College,47.8,4666.16
"Fidrich, Lauren",Stow,36,3. Some College,83.9,9966.85
"Whittington, Marvon",Solon,29,3. Some College,52.7,5484.59
"Murray, Ruth",Fairlawn,33,5. Advanced Degree,99.8,13141.08
"Smith, Jordan",Solon,34,4. College Grad,78,8554.91
"Reckard, William",Akron,49,4. College Grad,51.3,5514.31
"Ayres-Perry, Blaine",Solon,46,2. HS Grad,21.1,3628.34
"Agede, James",Fairlawn,53,3. Some College,79.9,11124.76
"Purdham, Dakota",Fairlawn,31,2. HS Grad,39.8,4961.81
"Kirwan, Ashley",Fairlawn,48,3. Some College,102.6,12091.74
"Bemis, Ka",Kent,38,1. < HS Grad,20.9,1583.77
"Turner, Jesse",Twinsburg,50,3. Some College,55.4,7958.67
"Robles Escamilla, Christopher",Hudson,26,3. Some College,52.5,4361.64
"Montoya, Periun",Fairlawn,29,2. HS Grad,33.9,3183.69
"Lestenkof, Jacob",Twinsburg,28,3. Some College,56.6,5444.34
"Ponzo, Drew",Kent,29,1. < HS Grad,32.2,4529.62
"Tsen, Chakong",Stow,35,1. < HS Grad,58.3,6898.38
"Hunter, Zachary",Fairlawn,36,4. College Grad,86.4,9462.74
"Diaz, Sonia",Akron,46,2. HS Grad,34.8,5244.92
"Cabral, Maria",Fairlawn,36,1. < HS Grad,36.6,3365.11
"Toledo, Belle",Hudson,31,2. HS Grad,58.9,7941.44
"Sacarias-Zamorano, Sarah",Akron,57,4. College Grad,65.6,6896.58
"Becker, Kevin",Akron,47,2. HS Grad,53.5,7614.09
"Rivers, Gloria",Fairlawn,56,2. HS Grad,54,6650.16
"Frison, Jill",Kent,50,1. < HS Grad,58.9,6072.79
"Mcgowan, Deanna",Kent,35,2. HS Grad,42,4161.65
